match_no,Bowler,team,over,run,wicket,No_ball,ECO
47,Anukul Roy,Kolkata Knight Riders,3.0,26,1,0,8.7
47,Sunil Narine,Kolkata Knight Riders,2.0,16,0,0,8.0
47,Varun Chakaravarthy,Kolkata Knight Riders,4.0,20,1,0,5.0
48,Mohammed Shami,Gujarat Titans,4.0,27,1,0,6.8
48,Hardik Pandya,Gujarat Titans,2.0,22,1,0,11.0
48,Rashid Khan,Gujarat Titans,4.0,14,3,0,3.5
48,Joshua Little,Gujarat Titans,4.0,24,1,0,6.0
48,Noor Ahmad,Gujarat Titans,3.0,25,2,0,8.3
48,Mohit Sharma,Gujarat Titans,0.5,5,0,0,10.0
48,Trent Boult,Rajasthan Royals,3.0,28,0,0,9.3
48,Sandeep Sharma,Rajasthan Royals,3.0,19,0,1,6.3
48,Adam Zampa,Rajasthan Royals,3.0,40,0,0,13.3
48,Yuzvendra Chahal,Rajasthan Royals,3.5,22,1,0,6.3
48,Ravichandran Ashwin,Rajasthan Royals,1.0,8,0,0,8.0
49,Deepak Chahar,Chennai Super Kings,3.0,18,2,0,6.0
49,Tushar Deshpande,Chennai Super Kings,4.0,26,2,0,6.5
49,Ravindra Jadeja,Chennai Super Kings,4.0,37,1,0,9.3
49,Moeen Ali,Chennai Super Kings,1.0,10,0,0,10.0
49,Maheesh Theekshana,Chennai Super Kings,4.0,28,0,0,7.0
49,Matheesha Pathirana,Chennai Super Kings,4.0,15,3,0,3.8
49,Cameron Green,Mumbai Indians,1.0,10,0,1,10.0
49,Jofra Archer,Mumbai Indians,4.0,24,0,0,6.0
49,Arshad Khan,Mumbai Indians,1.4,28,0,0,20.0
49,Piyush Chawla,Mumbai Indians,4.0,25,2,0,6.3
49,Raghav Goyal,Mumbai Indians,4.0,33,0,0,8.3
49,Tristan Stubbs,Mumbai Indians,2.0,14,1,0,7.0
49,Akash Madhwal,Mumbai Indians,1.0,4,1,0,4.0
50,Mohammed Siraj,Royal Challengers Bangalore,2.0,28,0,0,14.0
50,Glenn Maxwell,Royal Challengers Bangalore,1.4,14,0,0,10.0
50,Josh Hazlewood,Royal Challengers Bangalore,3.0,29,1,1,9.7
50,Wanindu Hasaranga,Royal Challengers Bangalore,4.0,32,0,0,8.0
50,Karn Sharma,Royal Challengers Bangalore,3.0,33,1,0,11.0
50,Mahipal Lomror,Royal Challengers Bangalore,1.0,16,0,0,16.0
50,Harshal Patel,Royal Challengers Bangalore,2.0,32,1,0,16.0
50,Khaleel Ahmed,Delhi Capitals,4.0,45,1,0,11.3
50,Axar Patel,Delhi Capitals,3.0,17,0,0,5.7
50,Ishant Sharma,Delhi Capitals,3.0,29,0,0,9.7
50,Mukesh Kumar,Delhi Capitals,3.0,30,1,0,10.0
50,Mitchell Marsh,Delhi Capitals,3.0,21,2,0,7.0
50,Kuldeep Yadav,Delhi Capitals,4.0,37,0,0,9.3
51,Mohsin Khan,Lucknow Super Giants,3.0,42,1,0,14.0
51,Avesh Khan,Lucknow Super Giants,4.0,34,1,0,8.5
51,Krunal Pandya,Lucknow Super Giants,4.0,38,0,0,9.5
51,Yash Thakur,Lucknow Super Giants,4.0,48,0,0,12.0
51,Ravi Bishnoi,Lucknow Super Giants,2.0,21,0,0,10.5
51,Kyle Mayers,Lucknow Super Giants,1.0,16,0,1,16.0
51,Swapnil Singh,Lucknow Super Giants,1.0,7,0,0,7.0
51,Marcus Stoinis,Lucknow Super Giants,1.0,20,0,0,20.0
51,Mohammed Shami,Gujarat Titans,4.0,37,1,0,9.3
51,Hardik Pandya,Gujarat Titans,3.0,37,0,0,12.3
51,Rashid Khan,Gujarat Titans,4.0,34,1,0,8.5
51,Noor Ahmad,Gujarat Titans,4.0,26,1,0,6.5
51,Mohit Sharma,Gujarat Titans,4.0,29,4,0,7.3
51,Alzarri Joseph,Gujarat Titans,1.0,5,0,0,5.0
52,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,44,1,0,11.0
52,Marco Jansen,Sunrisers Hyderabad,4.0,44,1,0,11.0
52,T Natarajan,Sunrisers Hyderabad,4.0,36,0,0,9.0
52,Mayank Markande,Sunrisers Hyderabad,4.0,51,0,0,12.8
52,Abhishek Sharma,Sunrisers Hyderabad,2.0,15,0,0,7.5
52,Vivrant Sharma,Sunrisers Hyderabad,2.0,18,0,0,9.0
52,Sandeep Sharma,Rajasthan Royals,4.0,48,0,0,12.0
52,Kuldip Yadav,Rajasthan Royals,4.0,50,1,0,12.5
52,Ravichandran Ashwin,Rajasthan Royals,4.0,35,1,0,8.8
52,Yuzvendra Chahal,Rajasthan Royals,4.0,29,4,0,7.3
52,Murugan Ashwin,Rajasthan Royals,3.0,42,0,0,14.0
52,Obed McCoy,Rajasthan Royals,1.0,13,0,0,13.0
53,Vaibhav Arora,Kolkata Knight Riders,3.0,32,0,0,10.7
53,Harshit Rana,Kolkata Knight Riders,3.0,33,2,0,11.0
53,Andre Russell,Kolkata Knight Riders,1.0,19,0,0,19.0
53,Varun Chakaravarthy,Kolkata Knight Riders,4.0,26,3,0,6.5
53,Suyash Sharma,Kolkata Knight Riders,4.0,26,1,0,6.5
53,Sunil Narine,Kolkata Knight Riders,4.0,29,0,0,7.3
53,Nitish Rana,Kolkata Knight Riders,1.0,7,1,0,7.0
53,Rishi Dhawan,Punjab Kings,2.0,15,0,0,7.5
53,Arshdeep Singh,Punjab Kings,4.0,39,0,0,9.8
53,Nathan Ellis,Punjab Kings,4.0,29,1,0,7.3
53,Sam Curran,Punjab Kings,3.0,44,0,0,14.7
53,Liam Livingstone,Punjab Kings,2.0,27,0,0,13.5
53,Harpreet Brar,Punjab Kings,1.0,4,1,0,4.0
53,Rahul Chahar,Punjab Kings,4.0,23,2,0,5.8
54,Jason Behrendorff,Mumbai Indians,4.0,36,3,0,9.0
54,Piyush Chawla,Mumbai Indians,4.0,41,0,0,10.3
54,Cameron Green,Mumbai Indians,2.0,15,1,0,7.5
54,Chris Jordan,Mumbai Indians,4.0,48,1,0,12.0
54,Kumar Kartikeya,Mumbai Indians,4.0,35,1,0,8.8
54,Akash Madhwal,Mumbai Indians,2.0,23,0,0,11.5
54,Mohammed Siraj,Royal Challengers Bangalore,3.0,31,0,0,10.3
54,Josh Hazlewood,Royal Challengers Bangalore,3.0,32,0,0,10.7
54,Wanindu Hasaranga,Royal Challengers Bangalore,4.0,53,2,0,13.3
54,Vijaykumar Vyshak,Royal Challengers Bangalore,3.0,37,2,0,12.3
54,Harshal Patel,Royal Challengers Bangalore,3.3,41,0,0,12.4
55,Khaleel Ahmed,Delhi Capitals,4.0,32,1,0,8.0
55,Ishant Sharma,Delhi Capitals,2.0,23,0,0,11.5
55,Lalit Yadav,Delhi Capitals,3.0,34,1,0,11.3
55,Axar Patel,Delhi Capitals,4.0,27,2,0,6.8
55,Kuldeep Yadav,Delhi Capitals,4.0,28,1,0,7.0
55,Mitchell Marsh,Delhi Capitals,3.0,18,3,0,6.0
55,Deepak Chahar,Chennai Super Kings,3.0,28,2,0,9.3
55,Tushar Deshpande,Chennai Super Kings,3.0,18,0,0,6.0
55,Maheesh Theekshana,Chennai Super Kings,2.0,16,0,0,8.0
55,Ravindra Jadeja,Chennai Super Kings,4.0,19,1,0,4.8
55,Moeen Ali,Chennai Super Kings,4.0,16,0,0,4.0
55,Matheesha Pathirana,Chennai Super Kings,4.0,37,3,0,9.3
56,Trent Boult,Rajasthan Royals,3.0,15,2,0,5.0
56,Sandeep Sharma,Rajasthan Royals,4.0,34,1,0,8.5
56,Ravichandran Ashwin,Rajasthan Royals,4.0,32,0,0,8.0
56,Joe Root,Rajasthan Royals,2.0,14,0,0,7.0
56,Yuzvendra Chahal,Rajasthan Royals,4.0,25,4,0,6.3
56,KM Asif,Rajasthan Royals,3.0,27,1,0,9.0
56,Nitish Rana,Kolkata Knight Riders,1.0,26,0,0,26.0
56,Harshit Rana,Kolkata Knight Riders,2.0,22,0,0,11.0
56,Shardul Thakur,Kolkata Knight Riders,1.1,18,0,0,16.4
56,Varun Chakaravarthy,Kolkata Knight Riders,3.0,28,0,0,9.3
56,Sunil Narine,Kolkata Knight Riders,2.0,13,0,0,6.5
56,Suyash Sharma,Kolkata Knight Riders,3.0,22,0,0,7.3
56,Anukul Roy,Kolkata Knight Riders,1.0,20,0,0,20.0
57,Mohammed Shami,Gujarat Titans,4.0,53,0,0,13.3
57,Rashid Khan,Gujarat Titans,4.0,30,4,0,7.5
57,Noor Ahmad,Gujarat Titans,4.0,38,0,0,9.5
57,Mohit Sharma,Gujarat Titans,4.0,43,1,0,10.8
57,Alzarri Joseph,Gujarat Titans,4.0,52,0,0,13.0
57,Jason Behrendorff,Mumbai Indians,4.0,37,1,0,9.3
57,Akash Madhwal,Mumbai Indians,4.0,31,3,0,7.8
57,Chris Jordan,Mumbai Indians,4.0,34,0,0,8.5
57,Piyush Chawla,Mumbai Indians,4.0,36,2,0,9.0
57,Kumar Kartikeya,Mumbai Indians,3.0,37,2,0,12.3
57,Cameron Green,Mumbai Indians,1.0,13,0,0,13.0
58,Yudhvir Singh,Lucknow Super Giants,3.0,24,1,0,8.0
58,Kyle Mayers,Lucknow Super Giants,1.0,11,0,1,11.0
58,Krunal Pandya,Lucknow Super Giants,4.0,24,2,0,6.0
58,Avesh Khan,Lucknow Super Giants,2.0,30,1,0,15.0
58,Yash Thakur,Lucknow Super Giants,4.0,28,1,0,7.0
58,Amit Mishra,Lucknow Super Giants,4.0,40,1,0,10.0
58,Ravi Bishnoi,Lucknow Super Giants,2.0,23,0,0,11.5
58,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,30,0,0,7.5
58,Fazalhaq Farooqi,Sunrisers Hyderabad,3.2,32,0,0,10.0
58,Glenn Phillips,Sunrisers Hyderabad,2.0,10,1,0,5.0
58,T Natarajan,Sunrisers Hyderabad,4.0,31,0,0,7.8
58,Mayank Markande,Sunrisers Hyderabad,3.0,39,1,0,13.0
58,Abhishek Sharma,Sunrisers Hyderabad,3.0,42,1,0,14.0
59,Khaleel Ahmed,Delhi Capitals,4.0,36,0,0,9.0
59,Ishant Sharma,Delhi Capitals,3.0,27,2,0,9.0
59,Axar Patel,Delhi Capitals,4.0,27,1,0,6.8
59,Praveen Dubey,Delhi Capitals,3.0,19,1,0,6.3
59,Kuldeep Yadav,Delhi Capitals,4.0,32,1,0,8.0
59,Mitchell Marsh,Delhi Capitals,1.0,21,0,0,21.0
59,Mukesh Kumar,Delhi Capitals,1.0,3,1,0,3.0
59,Rishi Dhawan,Punjab Kings,1.0,10,0,0,10.0
59,Sam Curran,Punjab Kings,2.0,18,0,0,9.0
59,Harpreet Brar,Punjab Kings,4.0,30,4,0,7.5
59,Nathan Ellis,Punjab Kings,4.0,26,2,0,6.5
59,Arshdeep Singh,Punjab Kings,4.0,32,0,0,8.0
59,Rahul Chahar,Punjab Kings,4.0,16,2,0,4.0
59,Sikandar Raza,Punjab Kings,1.0,3,0,0,3.0
60,Sandeep Sharma,Rajasthan Royals,4.0,34,1,0,8.5
60,Adam Zampa,Rajasthan Royals,4.0,25,2,0,6.3
60,Yuzvendra Chahal,Rajasthan Royals,4.0,37,0,0,9.3
60,Ravichandran Ashwin,Rajasthan Royals,4.0,33,0,0,8.3
60,KM Asif,Rajasthan Royals,4.0,42,2,0,10.5
60,Mohammed Siraj,Royal Challengers Bangalore,2.0,10,1,0,5.0
60,Wayne Parnell,Royal Challengers Bangalore,3.0,10,3,0,3.3
60,Michael Bracewell,Royal Challengers Bangalore,3.0,16,2,0,5.3
60,Karn Sharma,Royal Challengers Bangalore,1.3,19,2,0,14.6
60,Glenn Maxwell,Royal Challengers Bangalore,1.0,3,1,0,3.0
61,Vaibhav Arora,Kolkata Knight Riders,4.0,30,1,1,7.5
61,Harshit Rana,Kolkata Knight Riders,2.0,19,0,0,9.5
61,Varun Chakaravarthy,Kolkata Knight Riders,4.0,36,2,0,9.0
61,Sunil Narine,Kolkata Knight Riders,4.0,15,2,0,3.8
61,Shardul Thakur,Kolkata Knight Riders,3.0,15,1,0,5.0
61,Suyash Sharma,Kolkata Knight Riders,3.0,29,0,1,9.7
61,Deepak Chahar,Chennai Super Kings,3.0,27,3,0,9.0
61,Tushar Deshpande,Chennai Super Kings,3.3,25,0,0,7.6
61,Moeen Ali,Chennai Super Kings,4.0,31,0,0,7.8
61,Maheesh Theekshana,Chennai Super Kings,3.0,22,0,0,7.3
61,Matheesha Pathirana,Chennai Super Kings,3.0,23,0,1,7.7
61,Ravindra Jadeja,Chennai Super Kings,2.0,18,0,0,9.0
62,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,30,5,0,7.5
62,Marco Jansen,Sunrisers Hyderabad,4.0,39,1,2,9.8
62,Fazalhaq Farooqi,Sunrisers Hyderabad,3.0,31,1,0,10.3
62,T Natarajan,Sunrisers Hyderabad,4.0,34,1,0,8.5
62,Aiden Markram,Sunrisers Hyderabad,1.0,13,0,0,13.0
62,Mayank Markande,Sunrisers Hyderabad,3.0,27,0,0,9.0
62,Abhishek Sharma,Sunrisers Hyderabad,1.0,13,0,0,13.0
62,Mohammed Shami,Gujarat Titans,4.0,30,4,0,7.5
62,Yash Dayal,Gujarat Titans,4.0,31,1,0,7.8
62,Rashid Khan,Gujarat Titans,4.0,28,0,0,7.0
62,Mohit Sharma,Gujarat Titans,4.0,28,4,0,7.0
62,Noor Ahmad,Gujarat Titans,2.5,35,0,0,14.0
62,Rahul Tewatia,Gujarat Titans,1.1,7,0,0,6.4
63,Jason Behrendorff,Mumbai Indians,4.0,30,2,0,7.5
63,Chris Jordan,Mumbai Indians,4.0,50,0,0,12.5
63,Hrithik Shokeen,Mumbai Indians,3.0,20,0,0,6.7
63,Piyush Chawla,Mumbai Indians,3.0,26,1,0,8.7
63,Akash Madhwal,Mumbai Indians,4.0,30,0,0,7.5
63,Cameron Green,Mumbai Indians,2.0,16,0,0,8.0
63,Krunal Pandya,Lucknow Super Giants,4.0,27,0,0,6.8
63,Mohsin Khan,Lucknow Super Giants,3.0,26,1,0,8.7
63,Naveen-ul-Haq,Lucknow Super Giants,4.0,37,0,1,9.3
63,Yash Thakur,Lucknow Super Giants,4.0,40,2,1,10.0
63,Swapnil Singh,Lucknow Super Giants,1.0,11,0,0,11.0
63,Ravi Bishnoi,Lucknow Super Giants,4.0,26,2,0,6.5
64,Sam Curran,Punjab Kings,4.0,36,2,0,9.0
64,Kagiso Rabada,Punjab Kings,3.0,36,0,0,12.0
64,Arshdeep Singh,Punjab Kings,2.0,21,0,0,10.5
64,Nathan Ellis,Punjab Kings,4.0,46,0,0,11.5
64,Rahul Chahar,Punjab Kings,4.0,35,0,0,8.8
64,Harpreet Brar,Punjab Kings,3.0,39,0,0,13.0
64,Khaleel Ahmed,Delhi Capitals,3.0,20,1,0,6.7
64,Ishant Sharma,Delhi Capitals,3.0,36,2,0,12.0
64,Anrich Nortje,Delhi Capitals,4.0,36,2,0,9.0
64,Mukesh Kumar,Delhi Capitals,4.0,52,0,0,13.0
64,Axar Patel,Delhi Capitals,3.0,27,1,0,9.0
64,Kuldeep Yadav,Delhi Capitals,3.0,21,0,0,7.0
65,Mohammed Siraj,Royal Challengers Bangalore,4.0,17,1,0,4.3
65,Wayne Parnell,Royal Challengers Bangalore,4.0,35,0,0,8.8
65,Michael Bracewell,Royal Challengers Bangalore,2.0,13,2,0,6.5
65,Shahbaz Ahmed,Royal Challengers Bangalore,3.0,38,1,0,12.7
65,Harshal Patel,Royal Challengers Bangalore,4.0,37,1,0,9.3
65,Karn Sharma,Royal Challengers Bangalore,3.0,45,0,0,15.0
65,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,48,1,0,12.0
65,Abhishek Sharma,Sunrisers Hyderabad,3.0,28,0,0,9.3
65,T Natarajan,Sunrisers Hyderabad,4.0,34,1,0,8.5
65,Kartik Tyagi,Sunrisers Hyderabad,1.2,21,0,0,17.5
65,Nitish Reddy,Sunrisers Hyderabad,2.0,19,0,0,9.5
65,Mayank Dagar,Sunrisers Hyderabad,4.0,25,0,0,6.3
65,Glenn Phillips,Sunrisers Hyderabad,1.0,10,0,0,10.0
66,Trent Boult,Rajasthan Royals,4.0,35,1,0,8.8
66,Sandeep Sharma,Rajasthan Royals,4.0,46,0,1,11.5
66,Navdeep Saini,Rajasthan Royals,4.0,40,3,0,10.0
66,Adam Zampa,Rajasthan Royals,4.0,26,1,0,6.5
66,Yuzvendra Chahal,Rajasthan Royals,4.0,40,0,0,10.0
66,Sam Curran,Chennai Super Kings,4.0,46,1,0,11.5
66,Kagiso Rabada,Chennai Super Kings,4.0,40,2,1,10.0
66,Arshdeep Singh,Chennai Super Kings,4.0,40,1,0,10.0
66,Nathan Ellis,Chennai Super Kings,4.0,34,1,0,8.5
66,Rahul Chahar,Chennai Super Kings,3.4,28,1,0,8.2
67,Khaleel Ahmed,Delhi Capitals,4.0,45,1,0,11.3
67,Lalit Yadav,Delhi Capitals,2.0,32,0,0,16.0
67,Axar Patel,Delhi Capitals,3.0,32,0,0,10.7
67,Anrich Nortje,Delhi Capitals,4.0,43,1,0,10.8
67,Chetan Sakariya,Delhi Capitals,4.0,36,1,0,9.0
67,Kuldeep Yadav,Delhi Capitals,3.0,34,0,0,11.3
67,Deepak Chahar,Chennai Super Kings,4.0,22,3,0,5.5
67,Tushar Deshpande,Chennai Super Kings,4.0,26,1,0,6.5
67,Maheesh Theekshana,Chennai Super Kings,4.0,23,2,0,5.8
67,Ravindra Jadeja,Chennai Super Kings,4.0,50,1,0,12.5
67,Matheesha Pathirana,Chennai Super Kings,4.0,22,2,0,5.5
68,Harshit Rana,Kolkata Knight Riders,3.0,21,1,0,7.0
68,Vaibhav Arora,Kolkata Knight Riders,4.0,30,2,1,7.5
68,Varun Chakaravarthy,Kolkata Knight Riders,4.0,38,1,0,9.5
68,Nitish Rana,Kolkata Knight Riders,1.0,3,0,0,3.0
68,Shardul Thakur,Kolkata Knight Riders,2.0,27,2,1,13.5
68,Sunil Narine,Kolkata Knight Riders,4.0,28,2,0,7.0
68,Suyash Sharma,Kolkata Knight Riders,1.0,12,0,0,12.0
68,Andre Russell,Kolkata Knight Riders,1.0,12,0,0,12.0
68,Mohsin Khan,Lucknow Super Giants,1.0,15,0,0,15.0
68,Naveen-ul-Haq,Lucknow Super Giants,4.0,46,0,0,11.5
68,Krunal Pandya,Lucknow Super Giants,4.0,30,1,0,7.5
68,Krishnappa Gowtham,Lucknow Super Giants,4.0,26,1,0,6.5
68,Ravi Bishnoi,Lucknow Super Giants,4.0,23,2,0,5.8
68,Yash Thakur,Lucknow Super Giants,3.0,31,2,0,10.3
69,Jason Behrendorff,Mumbai Indians,3.0,36,0,0,12.0
69,Cameron Green,Mumbai Indians,1.0,2,0,0,2.0
69,Chris Jordan,Mumbai Indians,4.0,42,1,0,10.5
69,Akash Madhwal,Mumbai Indians,4.0,37,4,1,9.3
69,Piyush Chawla,Mumbai Indians,4.0,39,0,0,9.8
69,Kumar Kartikeya,Mumbai Indians,4.0,39,0,0,9.8
69,Bhuvneshwar Kumar,Sunrisers Hyderabad,4.0,26,1,0,6.5
69,Nitish Reddy,Sunrisers Hyderabad,3.0,35,0,0,11.7
69,Mayank Dagar,Sunrisers Hyderabad,4.0,37,1,0,9.3
69,Kartik Tyagi,Sunrisers Hyderabad,2.5,41,0,3,16.4
69,Umran Malik,Sunrisers Hyderabad,3.0,41,0,0,13.7
69,Vivrant Sharma,Sunrisers Hyderabad,1.0,19,0,1,19.0
69,Aiden Markram,Sunrisers Hyderabad,0.1,1,0,0,10.0
70,Mohammed Shami,Gujarat Titans,4.0,39,1,0,9.8
70,Yash Dayal,Gujarat Titans,4.0,39,1,0,9.8
70,Rashid Khan,Gujarat Titans,4.0,24,1,0,6.0
70,Noor Ahmad,Gujarat Titans,4.0,39,2,0,9.8
70,Mohit Sharma,Gujarat Titans,4.0,54,0,0,13.5
70,Mohammed Siraj,Royal Challengers Bangalore,4.0,32,2,0,8.0
70,Wayne Parnell,Royal Challengers Bangalore,3.1,42,0,1,13.5
70,Vijaykumar Vyshak,Royal Challengers Bangalore,4.0,40,1,0,10.0
70,Himanshu Sharma,Royal Challengers Bangalore,3.0,28,0,0,9.3
70,Harshal Patel,Royal Challengers Bangalore,4.0,29,1,0,7.3
70,Michael Bracewell,Royal Challengers Bangalore,1.0,16,0,0,16.0
